"omm_id","Date","Tmax","Tmin","Precip","Nub","Sunabs","Solrad"
87585,2012-01-10,37.9,24.1,7.6,5,8.4,22.08987774
87585,2012-01-11,28.6,21,0.5,8,0.2,9.19939842
87585,2012-01-13,27.1,17.9,0,2,11.4,31.07574792
87585,2012-01-14,27.5,19.1,0,0,11.3,31.5026313
87585,2012-01-15,30.7,19.6,0,0,12.2,31.88798766
87585,2012-01-16,34.4,19,0,0,12.2,31.035372
87585,2012-01-17,33,23.6,0,1,12.8,30.3927624
87585,2012-01-18,33,21.7,0,2,11.3,29.20498362
87585,2012-01-19,33.7,23.6,0,5,9.6,20.96902356
87585,2012-01-20,37.5,25.1,0,1,11.8,29.36507616
87585,2012-01-21,34.8,25.5,4.3,5,8.1,23.71323756
87585,2012-01-22,30.4,21.7,0,6,10.1,19.6394844
87585,2012-01-23,31,21.2,20.6,2,11.6,29.08910388
87585,2012-01-24,32.2,19.1,0,5,9.4,24.67356312
87585,2012-01-25,27.2,14.2,0,3,12,31.18195488
87585,2012-01-26,27.6,16.1,0,2,11.3,30.76240422
87585,2012-01-27,29.6,20.3,0,0,11.9,31.0129179
87585,2012-01-28,31.5,20.9,0,0,11.4,31.01254536
87585,2012-01-29,35,21.5,7.4,2,10.8,29.40319254
87585,2012-01-30,29.4,21.5,5.6,7,0,6.31821911999999
87585,2012-01-31,30.4,21.3,0.9,8,2.3,10.99080942
87585,2012-02-01,33.7,21.4,75,3,10.3,NA
87585,2012-02-02,31,20.7,5.2,5,8.8,22.25853462
87585,2012-02-03,31.5,20.8,0,4,9.2,22.48714356
87585,2012-02-04,34.7,23.1,0,3,9.2,26.79056892
87585,2012-02-05,30,23.9,1.2,4,3.6,12.42775488
87585,2012-02-06,33.2,21.3,0,3,10.9,NA
87585,2012-02-07,33.2,24.6,54.5,5,7.1,23.44157754
87585,2012-02-08,31.2,20.6,0,8,9.1,20.08866222
87585,2012-02-09,27.3,16.4,0,2,12.1,25.33169946
87585,2012-02-10,27.6,15.8,0,1,9.4,25.5161394
87585,2012-02-11,30,17.1,0,1,9.4,28.92831228
87585,2012-02-12,31.8,17.4,0,2,10.9,28.56211572
87585,2012-02-13,32,20.1,0,0,10.3,29.2119129
87585,2012-02-14,33.5,21.6,0,1,10.7,26.42140302
87585,2012-02-15,35,21.8,0,2,9.3,23.39993058
87585,2012-02-16,34.2,21,8,5,6.5,NA
87585,2012-02-17,31.5,20.9,0,6,3.2,NA
87585,2012-02-18,35.4,25.1,15.3,6,9.4,NA
87585,2012-02-19,26.9,21.6,3.3,8,1.6,NA
87585,2012-02-20,26.3,22.6,7.8,7,0,NA
87585,2012-02-21,26.5,19.1,0,5,9.1,20.52020718
87585,2012-02-22,27.2,13.6,0,2,10.1,26.6068572
87585,2012-02-23,26.6,14.5,0,0,10,27.6379227
87585,2012-02-24,26.4,18,0.1,5,7.2,20.61159984
87585,2012-02-25,28,20.8,0.8,7,7.8,NA
87585,2012-02-26,27.5,16.6,0,1,9.8,NA
87585,2012-02-27,28.6,15.4,69.9,3,8.5,NA
87585,2012-02-28,23.7,17.5,0.5,8,0.6,8.38560948
87585,2012-02-29,26.4,18.9,0.9,6,6.4,16.08112362
87585,2012-03-01,26.7,16.3,1.6,5,8.3,21.11317278
87585,2012-03-02,28,17.2,0,2,9.4,NA
87585,2012-03-03,30.9,20.3,0,1,9.5,NA
87585,2012-03-04,31.8,22.6,0,0,9.6,24.64750446
87585,2012-03-05,30.3,19.8,51.9,6,2.3,9.03379247999996
87585,2012-03-06,27.5,19.6,0,7,4.7,16.77953958
87585,2012-03-07,29.4,21,0,3,8,14.64161592
87585,2012-03-08,28.5,22,2.2,5,3.8,12.24799764
87585,2012-03-09,28.6,21.3,1,4,9.6,20.02678188
87585,2012-03-10,31.4,19.7,0,6,9.1,15.71603712
87585,2012-03-11,28.8,21.6,13,2,9.9,21.44456274
87585,2012-03-12,27,19.2,62.5,7,3.2,6.16128882
87585,2012-03-13,27.8,18.9,0,5,4.4,NA
87585,2012-03-14,24.5,15.3,0,1,9.6,NA
87585,2012-03-15,23.7,13,0,1,9.2,23.22767406
87585,2012-03-16,25.4,14.4,0,3,9.4,23.66435256
87585,2012-03-17,27.2,20,0,1,9.2,23.15140836
87585,2012-03-18,29.7,18.6,0,1,9.2,22.2895203
87585,2012-03-19,32.3,19,18.6,6,5.9,15.37112826
87585,2012-03-20,23.7,19.1,2.1,6,0.1,4.7440518
87585,2012-03-21,26.5,18.7,0,5,5.9,13.3441833
87585,2012-03-22,22.6,16.1,0,3,8.7,16.87160328
87585,2012-03-23,23.2,10.1,0,1,10.1,21.53005098
87585,2012-03-24,23.9,11.2,0,2,8.7,22.20044142
87585,2012-03-25,24.3,15.4,0.5,5,3.8,10.06122522
87585,2012-03-26,22.5,12.8,0,2,4.8,13.47918456
87585,2012-03-27,17.8,8.1,0,2,8.1,NA
87585,2012-03-28,23.1,7.6,0,1,8.5,NA
87585,2012-03-29,26.2,13,0,2,8.7,NA
87585,2012-03-30,24.9,13.1,0,0,9.3,NA
87585,2012-03-31,27.5,14.7,0,0,8.5,NA
87585,2012-04-01,27.2,18.1,0,0,8.5,NA
87585,2012-04-02,28.8,16.6,0,5,6.2,NA
87585,2012-04-03,25.2,17.6,0,4,4.8,NA
87585,2012-04-04,29.5,16.8,53.5,5,7.3,NA
87585,2012-04-05,23,14.1,0,4,7.4,NA
87585,2012-04-06,25.5,9.2,0,3,7.6,NA
87585,2012-04-07,29.9,12.6,0,3,8.4,NA
87585,2012-04-08,24,14.5,0,3,8.4,NA
87585,2012-04-09,24.4,14.6,0,1,8.2,NA
87585,2012-04-10,25.8,17.5,0,3,6.1,NA
87585,2012-04-11,26.5,16.6,0,4,5.3,NA
87585,2012-04-12,24.6,16.1,0,3,3.8,NA
87585,2012-04-13,24.6,15.9,0,5,3.9,NA
87585,2012-04-14,27.9,17.2,3.2,6,6.3,NA
87585,2012-04-15,25.2,14,0,0,7.8,NA
87585,2012-04-16,27,12.2,5,1,7.9,NA
87585,2012-04-17,25.9,17.1,0,3,7.8,NA
87585,2012-04-18,25.8,13.9,0,0,7.7,NA
