"omm_id","Date","Tmax","Tmin","Precip","Nub","Sunabs","Solrad"
87349,2012-10-01,21.7,13.2,0,8,1.7,11.4582
87349,2012-10-02,19,11.4,0,6,3.2,9.81924
87349,2012-10-03,22.9,7.7,0,0,10.9,25.29726
87349,2012-10-04,24.4,9.7,0,4,9.7,22.96896
87349,2012-10-05,28.5,16.5,88,7,3.5,11.46402
87349,2012-10-06,18.2,12.7,21,8,0.5,9.44232
87349,2012-10-07,18,15,9,8,0,5.76534
87349,2012-10-08,18.4,12.6,29,8,0.6,8.12718
87349,2012-10-09,16.6,13.2,19,6,1.6,8.35344
87349,2012-10-10,17.4,10,0,3,11.4,25.77546
87349,2012-10-11,19.9,7.4,0,1,11.3,NA
87349,2012-10-12,23.6,9.2,0,1,10.2,NA
87349,2012-10-13,26,10.7,0,0,11.2,NA
87349,2012-10-14,29.5,12.8,35,3,11.2,NA
87349,2012-10-15,24.9,13.3,0,4,9.4,NA
87349,2012-10-16,24,11.8,0,2,12.1,NA
87349,2012-10-17,26.2,11.1,0,2,8.2,NA
87349,2012-10-18,25.9,12.8,0,2,11.5,NA
87349,2012-10-19,28.3,14.5,0,3,9.9,NA
87349,2012-10-20,20.5,16.8,0,8,0,NA
87349,2012-10-21,21.5,14.7,5,8,1.1,NA
87349,2012-10-22,21.6,14,0,4,9,NA
87349,2012-10-23,20.1,10.3,0,3,11.5,NA
87349,2012-10-24,24.1,10.4,0.2,3,11,NA
87349,2012-10-25,26.7,11.4,0,4,9.8,NA
87349,2012-10-26,29.3,11.2,0,0,11.4,NA
87349,2012-10-27,30.5,14.4,7,3,7.8,NA
87349,2012-10-28,30.3,18.2,0,4,7.1,NA
87349,2012-10-29,28.4,16.7,0,6,2.4,NA
87349,2012-10-30,24.9,12.5,0,2,11.2,NA
87349,2012-10-31,28,15.2,0,1,11.1,NA
87349,2012-11-01,25.9,16.1,0,4,6.8,17.5716
87349,2012-11-02,30.1,14.6,0,3,11.6,26.86926
87349,2012-11-03,30.3,16.2,0.2,3,9.1,22.5588
87349,2012-11-04,27.6,18.9,0.5,5,5.2,17.71398
87349,2012-11-05,32.7,14.4,0,0,11.6,NA
87349,2012-11-06,33.3,17.4,0,5,8.4,24.47214
87349,2012-11-07,34.3,17.4,0,1,12.9,29.0223
87349,2012-11-08,35.6,19.1,0,0,13.2,29.7219
87349,2012-11-09,31.1,18.2,1,6,2.8,9.53154
87349,2012-11-10,20.4,12.7,0,8,0.1,13.8201
87349,2012-11-11,25.4,11.7,0,4,10.4,27.01344
87349,2012-11-12,24.9,11.7,0,4,8.3,22.94328
87349,2012-11-13,26,11.9,0,2,11.9,28.24116
87349,2012-11-14,27.1,11.5,0,1,12.1,30.31962
87349,2012-11-15,29,13.1,0,0,12.7,30.27558
87349,2012-11-16,30.1,12.8,0,1,12.8,30.2808
87349,2012-11-17,29.5,17.9,0,4,8.7,23.18226
87349,2012-11-18,28.2,15.5,0,4,8.9,24.29814
87349,2012-11-19,32.2,14.5,0,3,11.7,29.418
87349,2012-11-20,34.4,18.3,0,2,12.7,29.52654
87349,2012-11-21,36.3,20.2,20,6,10.4,26.37726
87349,2012-11-22,31,17.2,0,6,7.3,19.23624
87349,2012-11-23,24.5,16.9,0,7,5,NA
87349,2012-11-24,27,14.7,0,3,12.3,31.62558
87349,2012-11-25,29.2,15.2,0,3,11.8,28.42158
87349,2012-11-26,29.8,14.2,5,6,7.2,20.6439
87349,2012-11-27,33.6,15.6,0,3,12,29.95074
87349,2012-11-28,33,16.9,27,5,6.2,15.00546
87349,2012-11-29,26.6,16.9,0.4,6,7.3,25.4985
87349,2012-11-30,22.9,16.5,5,6,5.1,11.6889
87349,2012-12-01,26.3,15.6,0,5,7,17.74326
87349,2012-12-02,33.6,16.2,0,2,12.4,NA
87349,2012-12-03,31,15,32,5,6.5,16.01664
87349,2012-12-04,26.4,19.7,0.2,7,3.9,16.0398
87349,2012-12-05,30.5,19.4,0,3,11,29.18376
87349,2012-12-06,37.6,23.3,7,6,9.2,27.78246
87349,2012-12-07,25.6,14.3,0,3,12.7,33.20148
87349,2012-12-08,28.7,14.7,0,2,11.1,30.15432
87349,2012-12-09,32.3,17.7,0,1,11.4,31.0905
87349,2012-12-10,35.7,21.3,0,5,7.4,23.95914
87349,2012-12-11,31.2,13.4,0,2,11.2,32.11044
87349,2012-12-12,35.5,19.5,0,1,11.5,31.07616
87349,2012-12-13,30.9,17.9,0,0,11,31.2669
87349,2012-12-14,36.8,17.8,10,3,11.8,30.55794
87349,2012-12-15,31.9,17.6,0,4,12,31.31106
87349,2012-12-16,33,20.8,26,3,11.3,29.36448
87349,2012-12-17,25.9,14.2,7,6,8,25.16646
87349,2012-12-18,23.8,14.2,2,6,6.4,17.62236
87349,2012-12-19,28.8,15.9,19,7,8.4,22.72062
87349,2012-12-20,24.9,15.5,0,5,12.3,31.01814
87349,2012-12-21,26.4,13.8,0,1,10.9,30.45108
87349,2012-12-22,29,17.2,0,4,10.3,NA
87349,2012-12-23,32.8,19.3,0,5,8.1,22.97556
87349,2012-12-24,37.9,23.4,0,3,9.5,28.46742
