Date,Tmax,Tmin,Precip,Sunabs,Nub,Solrad
1961-01-01,34.8,21.8,6.2,10.8,1,30.7305840486
1961-01-02,32.9,18.3,0,7,4,22.8595352732
1961-01-05,26,19.9,0,10.5,8,8.0385178983
1961-01-06,26,13,0,7.1,0,32.6564789617
1961-01-07,28.6,16.1,0,12,0,33.0751517689
1961-01-09,36.3,24.2,26.4,9.3,5,23.9480845719
1961-01-10,32.8,14.3,0,10.6,1,34.6242411555
1961-01-11,29.3,12.5,0,9.8,3,27.5905379946
1961-01-13,28,18.7,87.6,0,7,1.2141511409
1961-01-14,29.9,18.8,0,0,6,16.160770358
1961-01-16,29.2,22.4,22.8,2.5,6,10.6342893029
1961-01-18,28.7,16.3,8.7,10.8,0,31.107389575
1961-01-20,35.3,25,9.3,0,4,14.4860791292
1961-01-21,25,15.7,0,8.2,5,22.0640569395
1961-01-24,23.4,14,0,9.1,6,30.9399204522
1961-01-25,22.5,10.5,0,12,2,32.5308771195
1961-01-26,24.5,18,0,10.1,1,24.9110320285
1961-01-27,26.5,16.5,0,12.6,0,31.7772660666
1961-01-28,29,20.7,0,11.6,1,29.474565627
1961-01-29,31.5,22.3,0,11.5,1,26.5857232573
1961-01-30,33.2,21.8,17.3,12.3,4,27.1718651874
1961-01-31,30.2,19,14.3,0,8,2.4701695625
1961-02-01,25.5,17.2,30.8,3.4,8,14.6954155328
1961-02-02,27.7,15.8,0,10.9,3,18.7146744819
1961-02-03,31.4,20.6,0,12.7,1,26.2926522922
1961-02-04,32.6,21.4,0,11.3,3,25.3297048357
1961-02-05,30.5,18.3,0,10.4,3,24.534226502
1961-02-06,33.1,23.2,0,11,5,32.5308771195
1961-02-07,28,18.5,0,9.7,5,24.534226502
1961-02-08,28.4,16.8,0,12.6,0,28.3860163282
1961-02-09,29.8,18.8,1.7,12,2,25.9158467658
1961-02-10,26.2,18.5,30,2.4,4,5.0659409671
1961-02-11,32.5,13.7,0,11.8,0,23.487544484
1961-02-12,32.5,18.2,0,11.7,0,28.0092108018
1961-02-13,23.8,13.5,0,11.6,2,27.5486707138
1961-02-14,24.8,17,0,8.2,4,23.8643500105
1961-02-15,29,19.6,0,7.9,4,24.2830228177
1961-02-16,29.1,22,0,9.3,5,21.5616495709
1961-02-17,28.5,20.8,5.2,2.1,5,7.2849068453
1961-02-18,30.1,18.5,0,7.7,3,16.6631777266
1961-02-19,28.6,20.4,0,6.2,4,17.0818505338
1961-02-20,30.6,19.9,0,9.1,3,20.5149675529
1961-02-21,33.5,21.2,18.7,10.9,2,23.8224827297
1961-02-22,27.6,18,0.5,4.9,7,10.46682018
1961-02-23,24,12.6,0,11.3,1,26.2507850115
1961-02-24,28.4,18.6,0,10.9,4,23.9480845719
1961-02-25,26,18.5,1.8,5,5,12.9788570232
1961-02-26,22,11.5,0,5.5,5,20.4731002721
1961-02-27,23.7,12.4,0,10.9,1,26.3763868537
1961-02-28,18.5,14.8,8.4,0.6,8,3.5587188612
1961-03-01,27.5,16,0,10.9,2,25.58090852
1961-03-02,31.8,20.5,0.2,10.7,4,21.0592422022
1961-03-03,28.6,20,1,3.3,7,9.7132091271
1961-03-04,23.4,17.8,0,8.7,5,21.1429767637
1961-03-05,22,11.7,0,10.6,3,26.0833158886
1961-03-06,21.2,12.5,0,9.1,4,21.7709859745
1961-03-07,25.9,16.7,0,11.1,1,24.4504919405
1961-03-08,26.4,18.8,5.1,,5,11.4297676366
1961-03-09,30.7,19.9,0.9,8.3,5,19.5101528156
1961-03-10,30.9,22.5,0,,6,14.1092736027
1961-03-11,29.5,20.9,1.4,9.1,3,20.4312329914
1961-03-12,26.5,19.7,22.6,2.1,7,7.6617123718
1961-03-13,29.6,13.6,0,8.5,2,21.687251413
1961-03-14,27.9,17.8,0,2.9,5,10.927360268
1961-03-15,24.4,18.8,4.5,0.4,5,4.8566045635
1961-03-16,20.6,12.5,0,,6,9.7550764078
1961-03-17,24,7.6,0,,0,26.5019886958
1961-03-18,25.6,11.6,0,9.9,2,22.5245970274
1961-03-19,24.6,14.7,0,11,0,22.3571279045
1961-03-20,27.3,15.1,0,10.6,1,10.8854929872
1961-03-21,27,14.5,0,10.8,0,20.8917730793
1961-03-22,29.5,19.2,0,10.7,0,20.9755076408
1961-03-24,30.2,20.2,0,0.9,8,8.3315888633
1961-03-25,22.3,16.6,13.3,1.7,8,3.4749842998
