Date,Tmax,Tmin,Precip,Sunabs,Solrad,Nub
1961-01-01,35.8,17.4,6.4,11.3,31,3
1961-01-02,28.9,16.1,6.4,11.2,30.1,4
1961-01-03,27.3,15.9,0,11.3,30.8,4
1961-01-04,31.7,13.6,57,8.2,24.3,4
1961-01-05,27.6,16.8,0,7.4,23.4,5
1961-01-06,26.1,12.6,0,12.9,33.2,0
1961-01-07,31.6,14,11,11.6,31.7,3
1961-01-08,32,17.3,0,12.2,31.1,4
1961-01-09,36.1,15.6,5.4,6.6,23.9,3
1961-01-10,25.1,10.3,0,13.3,32.5,0
1961-01-11,30.4,12.6,0,8.8,28.1,4
1961-01-12,34.7,18,0,9,,4
1961-01-13,33.5,21.2,2.3,8.3,24.4,7
1961-01-14,29.7,18.7,0,7.4,22.5,4
1961-01-15,30.1,19.2,0,12.1,32.5,0
1961-01-16,33.7,18.4,0,9.3,23.4,5
1961-01-17,29.2,14.3,0,10.2,26.6,2
1961-01-18,30.6,12.2,0,10.5,22.1,2
1961-01-19,37.8,21.7,0,10.5,24.2,3
1961-01-20,33,24.6,0,11.3,27,3
1961-01-21,30.3,17.6,0,6,,7
1961-01-22,35.3,17.6,1,10.5,28.5,4
1961-01-23,35.6,23.2,1.4,12.5,,5
1961-01-24,30.8,14.6,6.6,2.5,13.1,8
1961-01-25,28.3,15.4,0,12.5,31.3,3
1961-01-26,28.7,11.7,0,12.8,30.3,0
1961-01-27,30.3,19.2,0,12.7,30.3,0
1961-01-28,33.2,13.9,0,12.6,29.3,1
1961-01-29,37.7,16.4,0,12.5,27.3,1
1961-01-30,39.2,20.2,0,10.3,25.7,4
1961-01-31,31.2,19,0,5.6,17.9,6
1961-02-01,31.1,16.7,0,5.3,20.2,6
1961-02-02,34,13.1,0,10.7,26.3,4
1961-02-03,37.7,16.7,0,11.2,24.8,3
1961-02-04,36.7,16.6,0,10.5,24.3,3
1961-02-05,33.1,17.4,5.7,5.4,17.5,7
1961-02-06,33.7,16.9,0,10.5,27.7,5
1961-02-07,33.7,18.4,0,10.1,26,4
1961-02-08,34.8,17,6,11.9,26.7,1
1961-02-09,34.3,17.8,27.8,8.2,23.5,6
1961-02-10,30.3,17.6,0,8.2,26.4,4
1961-02-11,33.3,16.1,0,11.9,27.6,0
1961-02-12,32,18.7,0,10.8,25.5,2
1961-02-13,26.8,15.4,0,4.5,17.4,5
1961-02-14,21.5,17.6,2.8,0.6,10.7,8
1961-02-15,29.9,17.1,0,11.1,26.3,3
1961-02-16,33.9,17,6.7,11.6,24.6,2
1961-02-17,32.8,19,30,6.5,20.2,5
1961-02-18,29.9,18.5,0,11,22.6,4
1961-02-19,31.6,18.3,0,11.3,,2
1961-02-20,34.4,19.9,0,11.6,25.6,1
1961-02-21,35.5,19.8,34.3,11.4,24,4
1961-02-22,26,14.1,0,7.7,23.7,4
1961-02-23,26.9,10.6,0,9.5,20.9,4
1961-02-24,29.1,16.8,1,7.8,18.4,4
1961-02-25,24.4,16.7,0,4.3,15.5,5
1961-02-26,18.3,12.6,0,0,9.5,8
1961-02-27,22.9,12.5,0,1.2,13.2,8
1961-02-28,25.2,14.2,5.7,2.3,11.9,6
1961-03-01,30.3,14.2,0,11.1,24.5,2
1961-03-02,34.4,17.9,16.3,9.7,18.5,1
1961-03-03,29.4,13.7,0,5.2,19.6,6
1961-03-04,22.5,13.6,3.2,0.2,8.5,6
1961-03-05,19,11.8,0,0.6,10.8,8
1961-03-06,23,11.4,0,8,22.1,5
1961-03-07,27.9,9,0,11.2,22.7,1
1961-03-08,32.3,14.5,0,11.3,21.6,1
1961-03-09,33.9,17.2,0,8.6,19,5
1961-03-10,34.2,18.6,0,6,16,6
1961-03-11,34.1,17.9,15.3,6.3,16.4,8
1961-03-12,24.6,14.6,0,8.9,20.6,4
1961-03-13,29,12.5,0,7.8,15.2,5
1961-03-14,27.9,17.2,42.2,5.2,,5
1961-03-15,22,17.6,43.7,3.4,11.2,7
1961-03-16,22.1,13,0,7.6,17.5,5
1961-03-17,26.6,8.2,0,11.3,21.1,1
1961-03-18,27.3,10.6,0,8.3,17.7,3
1961-03-19,27.6,10.2,0,11.3,21.5,0
1961-03-20,27.5,10.6,0,10.4,20.2,1
1961-03-21,30.7,11.7,0,10.2,17.9,2
1961-03-22,31.7,14.6,0,9.3,19.6,2
1961-03-23,32.6,16.6,2.3,9.7,16.3,5
1961-03-24,27.9,19.4,0.9,5.1,11.9,4
1961-03-25,28.6,14,0,6.6,,4
1961-03-26,22.1,10.3,0,10.2,18.9,2
1961-03-27,24.4,11.1,0,10.4,18.3,2
1961-03-28,27.7,11.9,0,9.7,19.4,0
1961-03-29,30.3,15.4,0,7.2,12.7,4
1961-03-30,28.3,21.6,22.5,1.1,5.8,8
1961-03-31,23.1,18.6,0.5,1.1,5,7
1961-04-01,21.6,8,0,9.7,15.2,2
1961-04-02,27.1,9.1,21.8,10.3,16.9,2
1961-04-03,23.8,12.6,1.6,7.4,12.6,6
1961-04-04,20.7,9.6,0,10.2,15.5,3
1961-04-05,21.7,9.4,0,9.8,17.5,0
1961-04-06,21.7,4.4,0,10.1,16.8,1
1961-04-07,22.1,12.6,0,3.3,8.2,5
1961-04-08,25.7,12.3,0,8.4,15.4,4
1961-04-09,26.4,8.9,12,9.4,15.6,3
1961-04-10,18.2,13.4,48.5,0.2,0.5,6
1961-04-11,23.3,7.4,0,9.6,15.4,1
1961-04-12,20,11.7,2,3.8,6.1,3
1961-04-13,25.3,10.2,0,7.5,15.4,4
1961-04-14,24.3,13.1,0,8.7,15.1,4
1961-04-15,24.8,11.6,0,9.8,16.2,0
1961-04-16,23.9,12.4,0,3.9,8.8,4
1961-04-17,28,14.2,0,9.9,14,2
1961-04-18,20,14.2,0.5,0,4.6,6
1961-04-19,18.1,11,6.4,2.4,5.9,5
1961-04-20,22.3,11.4,0,6.9,12.7,4
1961-04-21,19.5,12.1,12,0.7,3.4,8
1961-04-22,20.3,8.1,0,9,12.9,3
1961-04-23,19.3,5.7,0,8.4,,2
1961-04-24,19,0.2,0,9.7,14.6,0
1961-04-25,24,2.7,0,9.5,13,1
1961-04-26,20.3,5.6,0,9.5,13.3,1
1961-04-27,18,3,0,6.5,11.9,4
1961-04-28,21.6,8.1,0,7.5,12.9,4
1961-04-29,24.8,5.7,0,9.5,12.1,1
1961-04-30,25.8,8.1,0,9.4,12.1,0
1961-05-01,20.6,9.3,0,0,4.9,5
1961-05-02,26.6,7.3,0,9.3,12.4,0
1961-05-03,25.3,10.1,0,9,13,0
1961-05-04,26.2,11.3,0,6.2,9.3,2
1961-05-05,21.1,11,0,0.3,4.7,6
1961-05-06,18,9.8,0,0.9,5.3,6
1961-05-07,27.3,3.6,0,9.7,11.9,0
1961-05-08,23.1,8.7,0,9.4,13.1,1
1961-05-09,16.8,7.6,0,3.7,6.2,5
1961-05-10,17.3,0.7,0,9.5,11.1,0
1961-05-11,23.8,4.3,0,8.3,10.4,2
1961-05-12,24.1,8.2,0,8,10.5,2
1961-05-13,21.1,8.2,0,2.8,5.9,6
1961-05-14,22.4,13.1,0,6.3,8.5,8
1961-05-15,23.8,12.6,2.2,1.8,5.8,6
1961-05-16,17.8,12.6,0,0,3.4,8
1961-05-17,14.8,11.4,0,0,3.1,8
1961-05-18,18,11.4,0,2.4,6.2,6
1961-05-19,17.5,-0.2,0,9.1,10.8,0
1961-05-20,20,1,0,8.7,11.1,0
1961-05-21,19.9,6.6,0,4.1,6.5,2
1961-05-22,17.9,7.2,0,3.7,6.6,5
1961-05-23,22.4,4.4,0,8.2,11.5,1
1961-05-24,25.9,10.4,0,5.7,8,5
1961-05-25,27,14.4,0,3.4,5.4,6
1961-05-26,21.8,17.4,0,3.3,6.6,7
1961-05-27,17.4,11.6,0.4,0.7,3.3,8
1961-05-28,13.8,6.3,0,0,3.5,7
1961-05-29,19.3,13.6,0,0,2,8
1961-05-30,20.1,16.6,0,0,2.1,7
1961-05-31,20.4,11.6,0,2.5,3.9,5
1961-06-01,15.5,-0.9,0,7.7,9.3,2
1961-06-02,18.3,6,0,0.1,2.2,4
1961-06-03,19.3,10.6,0,4.6,6.4,4
1961-06-04,17.3,5.4,0,8.1,8.7,3
1961-06-05,12.7,5.6,0,0.6,3.2,6
1961-06-06,17.9,2.5,0,2.7,7.4,5
1961-06-07,21.2,11.3,0,5.9,7.2,6
1961-06-08,14.4,5.8,0,4.2,5.3,5
1961-06-09,9.1,4,0,0,3.1,6
1961-06-10,8.7,-4.4,0,8.7,8.2,1
1961-06-11,8.1,-1.7,0,4.4,6,5
1961-06-12,9.1,-3.7,0,6.5,7.3,3
1961-06-13,10.2,-7.6,0,7.5,8.2,0
1961-06-14,9.9,-4.6,0,8.6,8.2,0
1961-06-15,16.4,-6.8,0,8.5,7.5,0
1961-06-16,19.3,-5.2,0,8.6,7.9,0
1961-06-17,19.3,-2.7,0,8.4,8.4,0
1961-06-18,16.3,-4.6,0,8.2,7.2,0
1961-06-19,14.4,1.9,0,0.3,4.1,5
1961-06-20,20.1,-2,0,7.7,7.5,1
1961-06-21,22.4,2.6,0,8.4,7.7,4
1961-06-22,21.4,0.4,0,7.6,7.8,2
1961-06-23,17.5,8,0,0.8,1.4,7
1961-06-24,26.4,14.6,0,5,6.1,5
1961-06-25,25.3,14.7,0,2.5,5.2,5
1961-06-26,21.9,11.8,0,2.3,5.2,7
1961-06-27,16,9.6,0,0,3.9,8
1961-06-28,15.1,2.8,0,8.4,8.1,2
1961-06-29,9.2,-2,2.4,0.2,1.3,4
1961-06-30,10.3,5.2,8.2,0,0.3,8
1961-07-01,10.2,7.2,0,0.1,7.1,8
1961-07-02,18.7,-2.9,0,8.5,8.6,1
1961-07-03,18.1,-1.4,0,8.6,9.1,1
1961-07-04,21.4,4.4,0,7,,3
1961-07-05,12,5.6,0.8,0,1.6,8
1961-07-06,11.6,0.4,0,7.1,7.7,4
1961-07-07,11.1,-2,0,6.3,7.5,4
1961-07-08,9.1,-1.3,0,3.7,5.3,6
1961-07-09,8.1,3.7,0,0,2.4,8
1961-07-10,8.6,5,0,0.1,1.7,8
1961-07-11,13.4,5.6,0,5.2,5.9,4
1961-07-12,14.1,-0.1,0,2.7,5,4
1961-07-13,15.4,0.2,0,7.7,9.1,3
1961-07-14,15.7,1.2,0,2.3,5.1,4
1961-07-15,20.4,2.6,0,6.9,7.6,3
1961-07-16,22.1,8.6,0,6.1,7,6
1961-07-17,18.6,9.1,0,0.9,4.6,8
1961-07-18,19.3,11.1,0.6,1.1,2.3,8
1961-07-19,24.9,15.2,0,3.6,5.7,7
1961-07-20,17.2,9,0,1.7,5.6,6
1961-07-21,19.7,2.6,0,8.8,9.9,0
1961-07-22,19.3,2.6,0,3.3,5.3,5
1961-07-23,20.8,2.1,0,7.8,8.2,5
1961-07-24,22.4,5.6,0,9,9.1,3
1961-07-25,14.2,6,0,7.7,8.2,4
1961-07-26,12.3,-4.7,0,8.8,9.9,1
1961-07-27,17.7,2.7,0,8.7,8.8,5
1961-07-28,16.3,0.7,0,8.6,9.9,4
1961-07-29,20.1,1.9,0,7.5,9.1,4
1961-07-30,22.8,2.2,0,7.8,8.1,4
1961-07-31,21.1,4.6,0,5.6,7.6,5
1961-08-01,22.9,4.4,0,6.9,8.5,3
1961-08-02,23.7,7,0,7.8,9.9,4
1961-08-03,26.6,7.1,0,8.3,9.2,4
1961-08-04,25.5,8.4,0,6.9,8.5,4
1961-08-05,27.6,9.1,0,8.6,9.8,0
1961-08-06,21.2,8.6,0,5.5,7.9,3
1961-08-07,18.2,4.4,0,6.3,9.6,6
1961-08-08,12.8,9.6,0,0,1.1,8
1961-08-09,15.6,10,0,0,2.9,8
1961-08-10,18.1,10.2,0,2.1,5.4,6
1961-08-11,17.6,6.4,0,0,3.5,6
1961-08-12,15.2,11,7,0,1.7,6
1961-08-13,20.3,2.7,0,9.5,14.1,0
1961-08-14,22.7,4,0,9.3,11.8,2
1961-08-15,21.1,3.6,0,6.8,9,2
1961-08-16,23.4,3.6,0,8.5,10.9,4
1961-08-17,25.2,7.7,0,8.2,10.6,3
1961-08-18,19.3,7.4,0,4.7,9.8,5
1961-08-19,22.3,8.6,0,3.2,9.9,7
1961-08-20,26.7,11.1,0,7.5,10,3
1961-08-21,27.9,13.2,0,7.1,12.1,5
1961-08-22,21,12,0,7.1,11.9,4
1961-08-23,19,0.5,0,5.7,10.6,6
1961-08-24,20.7,8.6,0,6.9,11.4,6
1961-08-25,20.9,2.4,0,10.7,13.4,2
1961-08-26,22.3,9.4,0,1.1,6.8,7
1961-08-27,16.3,10,0.4,0.2,3.9,8
1961-08-28,18.7,10.2,0,1.9,,8
1961-08-29,16.6,9.6,2,1.6,5.6,8
1961-08-30,18.1,1.6,0,6.5,12.2,3
1961-08-31,22.3,3.2,0,9.6,14.4,2
1961-09-01,28.3,7.6,2.8,8,12.8,6
1961-09-02,19.6,6.6,0,6.9,10.1,6
1961-09-03,18.2,7.2,0,7.9,14.2,3
1961-09-04,19.1,-1.4,0,10.4,13.9,2
1961-09-05,24.1,-0.2,0,9.3,13.3,1
1961-09-06,22.3,3.9,0,8.1,12.9,3
1961-09-07,19.3,6.3,0,7.1,12.1,5
1961-09-08,17.3,3.1,1.6,1.6,7.3,6
1961-09-09,21.6,4.8,0,9.7,15,6
1961-09-10,21.2,10.6,0,6.4,12.7,5
1961-09-11,19.7,8.8,0,6.2,11.9,3
1961-09-12,19.6,2,0,6.9,13.6,4
1961-09-13,22.6,9.4,0,7.5,14,1
1961-09-14,18.1,6,0,7.6,,5
1961-09-15,13.7,2.6,0,0.3,6.6,6
1961-09-16,19.7,2.1,0,10.3,15,2
1961-09-17,22.5,2.6,0,10.5,,0
1961-09-18,28,4.9,0,10.5,15.2,0
1961-09-19,29.1,8.6,0,9.9,15.2,2
1961-09-20,30.2,9.6,1.6,9.4,13.9,1
1961-09-21,16.8,8.2,2.6,0.2,5.9,8
1961-09-22,18.3,5.8,4,5.5,13.9,7
1961-09-23,19.9,11.2,1.2,5.8,10.5,5
1961-09-24,24.4,2.9,0,10.5,17.2,4
1961-09-25,27.6,8.1,0,6.9,13.6,2
1961-09-26,26.1,6.6,0.7,7.8,14.8,2
1961-09-27,16.9,10.1,1,2.9,11,7
1961-09-28,19.1,4.6,0,9.7,17.7,4
1961-09-29,24.7,1.8,0,9.8,16.5,3
1961-09-30,28,5.4,0,11.3,17.4,3
1961-10-01,31.8,6.7,0,11.2,19.8,0
1961-10-02,20.1,12,0,11,20.5,0
1961-10-03,18.6,6.1,0,9.3,17.5,0
1961-10-04,19.4,10.2,0,0.3,8.6,8
1961-10-05,21.6,14.3,0,1.6,9.6,6
1961-10-06,24.6,7.5,0,6,13.7,4
1961-10-07,22.2,12.7,0,0,5.7,8
1961-10-08,27.9,16.7,38.8,0.4,6.6,8
1961-10-09,19,14.4,0,1.5,8.6,7
1961-10-10,23.3,10.6,0,8,19,6
1961-10-11,27.3,17.4,0,7.1,,7
1961-10-12,26.3,11.1,0,6.3,20.4,5
1961-10-13,24.8,12.1,0,6,16.7,6
1961-10-14,23.3,9.9,17,6.5,18.5,5
1961-10-15,17,12.8,28.4,0,2.8,8
1961-10-16,16.2,13.6,3.1,0,7.2,8
1961-10-17,22.8,11.4,0.7,8.7,19.7,7
1961-10-18,21.1,11.2,1,9.7,,5
1961-10-19,23.2,10.5,22.5,4.6,14.1,8
1961-10-20,17.1,9,0,9.8,24.3,5
1961-10-21,21.3,3.6,0,11.8,24.6,0
1961-10-22,22.8,8.6,0,11.8,,1
1961-10-23,25.6,9.6,0,11.8,25.4,2
1961-10-24,29.7,11.7,0,11.3,20.6,3
1961-10-25,30.2,10.3,0,11.9,24.6,0
1961-10-26,31.6,14.2,0,12,23.3,0
1961-10-27,34.9,15.4,0,11.9,22.1,2
1961-10-28,33.3,18,22.3,7.9,19.5,6
1961-10-29,24,17.8,0,2.8,11.4,8
1961-10-30,27,16.6,0,10,22.7,5
1961-10-31,26.1,16.7,0,4.4,13.5,4
1961-11-01,28,16.2,0,7.9,,4
1961-11-02,31.1,15.7,0,11.8,25.3,0
1961-11-03,33.3,17.6,13,11.6,24,1
1961-11-04,22.6,12.2,0,7,21.9,6
1961-11-05,22.1,5.9,0,12,26.7,1
1961-11-06,28.3,8.4,0,12.8,26.2,0
1961-11-07,30.3,12.7,0,12.7,25.1,0
1961-11-08,29.3,13.9,54,10.4,20.9,4
1961-11-09,23.2,11.6,0,7.9,21.8,5
1961-11-10,24.7,9.8,0,12.3,26.2,3
1961-11-11,25.6,13.5,0,10.2,25.3,4
1961-11-12,29.3,12.1,1,12.6,26.2,1
1961-11-13,27.7,15.2,0,10,25.2,5
1961-11-14,30.4,11.2,1,11.4,23.6,4
1961-11-15,31.6,15.4,0,10,23.5,5
1961-11-16,33.5,16.6,0,12.2,25.3,1
1961-11-17,27.3,17.6,0,9.1,17.5,5
1961-11-18,20.6,15.6,4.2,0.4,7.1,8
1961-11-19,26.6,12.3,0,11.1,25.2,2
1961-11-20,30.6,10.2,0,12.5,28.9,2
1961-11-21,28.3,10.1,0,11.5,,3
1961-11-22,32.1,10.2,2,12,26.6,2
1961-11-23,30.1,16.4,0,9.6,24.4,6
1961-11-24,31.7,15.6,0,10.6,22.8,4
1961-11-25,33.9,13.4,0,9.8,20.9,3
1961-11-26,36,13.2,35,12.8,24.5,2
1961-11-27,27,16,0,8.3,21.1,5
1961-11-28,30.6,14.3,0,12.4,28.2,1
1961-11-29,30.6,16.8,22.6,9.6,23,5
1961-11-30,23.2,15.6,1,3.1,14.1,5
1961-12-01,30.3,13.1,0,12.2,28.7,0
1961-12-02,27.3,15.8,0,11.9,28.7,1
1961-12-03,28.7,13.6,0,11.3,24.9,3
1961-12-04,32.1,13.5,0,12.1,27.5,1
1961-12-05,32,18.8,0,12,25,2
1961-12-06,35.1,19.9,0,10.8,24.4,4
1961-12-07,34.7,21.1,42,10.5,22.6,4
1961-12-08,21.8,14.4,2,2.9,9.5,7
1961-12-09,22.3,8,0,13,29.7,0
1961-12-10,28.6,12.9,0,10.6,28.5,2
1961-12-11,33.6,16.7,0,12.4,27.6,0
1961-12-12,30.3,14.4,0,12,28.1,0
1961-12-13,34,18.8,0,11.9,,1
1961-12-14,33,18.4,0,6.4,18.2,5
1961-12-15,26.6,20.1,3.8,0,8.2,8
1961-12-16,32.2,15.9,0,12.1,28,1
1961-12-17,34.6,16.6,16.3,11.5,26.7,3
1961-12-18,27.4,19.4,5.3,2.5,11.2,8
1961-12-19,22.6,16.1,1.2,0.4,8.6,8
1961-12-20,27,11.1,0,12.7,29,0
1961-12-21,27.3,11.1,0,11.8,25.6,1
1961-12-22,32.3,13.5,0,12.1,24.7,1
1961-12-23,27,9.8,0,12,,0
1961-12-24,32,9.8,0,11.7,25.8,
1961-12-25,31,13.3,0,11.9,24.8,0
1961-12-26,33.1,18,23.1,7,19.8,5
1961-12-27,32,17.6,0,8.5,22.8,5
1961-12-28,33.3,16.6,0,11.2,27,3
1961-12-29,28.9,13.2,0,8.6,22.1,6
1961-12-30,30.6,16.2,0.5,10,24.2,5
1961-12-31,24.4,18,32.4,1.1,6.7,8
1962-01-01,28.3,16.1,0,10,26.9,
1962-01-02,28.2,12.9,0,12.5,26,
1962-01-03,32.4,9.9,0,12.5,24.8,
1962-01-04,35,16.9,0,12.5,23,
1962-01-05,34.6,17.1,6,9.3,23,
1962-01-06,30.3,18.1,0,6.6,19.1,
1962-01-07,34.1,15.1,0,12.1,25.3,
1962-01-08,36,19.7,2.7,11,21.6,
1962-01-09,31.3,17.2,0.5,11.6,23,
1962-01-10,28.9,20.4,13,0.9,9.5,
1962-01-11,29.3,19.2,1.8,9.7,19.3,
1962-01-12,29.2,15.2,27,11.1,18.8,
1962-01-13,22.7,15,3.4,7.5,13.6,
1962-01-14,22.6,9.7,0,12.4,27,
