Date,Tmax,Tmin,Precip,Sunabs,Sunrel,Solrad
1981-12-01,24.6,7.6,0.0,12.0,86,31.71
1981-12-02,22.9,11.0,0.0,10.3,74,29.25
1981-12-03,26.5,9.3,0.0,12.4,88,31.74
1981-12-04,30.5,13.4,0.7,11.9,85,30.90
1981-12-05,29.0,17.8,0.0,9.5,67,29.13
1981-12-06,31.0,9.6,0.0,8.7,62,28.57
1981-12-07,30.1,13.7,0.0,11.7,83,29.05
1981-12-08,32.7,13.5,0.0,11.6,82,28.84
1981-12-09,31.8,15.0,0.0,11.9,84,30.81
1981-12-10,26.7,18.8,0.0,4.9,35,15.67
1981-12-11,29.6,13.4,0.0,8.7,62,25.61
1981-12-12,33.2,14.1,0.0,11.1,79,30.98
1981-12-13,33.1,19.0,0.0,10.6,75,27.12
1981-12-14,28.4,15.2,6.0,1.4,10,10.59
1981-12-15,29.3,12.9,0.0,11.9,84,32.79
1981-12-16,34.4,13.9,0.0,11.8,84,31.76
1981-12-17,28.4,20.7,0.0,2.9,20,15.57
1981-12-18,32.7,13.9,0.0,11.8,83,30.64
1981-12-19,37.1,19.9,20.7,9.9,70,26.92
1981-12-20,28.9,19.8,0.0,8.3,58,23.75
1981-12-21,26.0,14.5,0.0,9.7,68,26.96
1981-12-22,27.0,14.4,12.9,10.8,76,31.73
1981-12-23,24.8,12.7,0.0,12.3,87,33.28
1981-12-24,27.8,13.3,0.0,12.3,87,32.87
1981-12-25,30.8,15.1,0.0,12.1,86,31.99
1981-12-26,31.4,17.3,0.0,11.0,78,29.23
1981-12-27,32.6,17.6,0.0,11.5,82,28.59
1981-12-28,32.7,20.4,0.0,9.9,70,25.30
1981-12-29,36.0,17.7,0.0,11.9,84,28.94
1981-12-30,33.9,23.1,0.0,3.8,27,13.50
1981-12-31,27.3,16.4,0.0,9.9,70,28.69
1982-01-01,27.3,13.6,0.0,9.1,64,25.61
1982-01-02,29.5,13.2,0.0,12.1,86,29.40
1982-01-03,31.2,13.3,0.0,12.1,86,31.76
1982-01-04,32.8,16.7,0.0,9.6,68,28.75
1982-01-05,31.8,20.0,0.0,5.9,42,20.38
1982-01-06,27.0,14.2,0.0,9.7,69,27.11
1982-01-07,29.0,12.5,0.0,10.5,75,31.59
1982-01-08,29.5,18.1,49.3,5.5,39,15.52
1982-01-09,26.3,18.3,0.0,4.1,29,16.22
1982-01-10,27.8,16.7,0.0,11.8,84,30.53
1982-01-11,27.7,15.2,0.0,12.0,86,32.37
1982-01-12,29.6,15.4,3.9,10.6,76,31.28
1982-01-13,28.2,15.9,0.0,11.1,79,29.47
1982-01-14,30.4,14.2,0.0,12.3,88,31.70
1982-01-15,33.4,15.4,23.0,12.1,87,30.38
1982-01-16,25.0,18.8,14.0,2.4,17,8.56
1982-01-17,27.5,13.6,0.0,12.4,89,33.27
1982-01-18,28.5,11.6,0.0,12.0,86,31.27
1982-01-19,30.3,16.1,0.0,12.3,88,30.80
1982-01-20,29.9,17.6,13.9,4.5,33,NA
1982-01-21,29.9,16.6,0.0,10.1,73,27.06
1982-01-22,24.9,11.7,0.0,12.4,90,32.24
