Date,Tmax,Tmin,Precip,Sunabs,Solrad,Nub
1995-06-01,22.7,7.5,0,7.3,11.58,2
1995-06-02,19.6,5.7,0,3.8,9.82,4
1995-06-03,22.5,12,0,6,10.84,4
1995-06-04,27.7,15.2,0,7.4,11.35,4
1995-06-05,25.2,13.4,0,6.6,11.66,4
1995-06-06,16.1,10.2,0,2.2,5.08,7
1995-06-07,18.3,3.6,0,7.1,12.35,4
1995-06-08,16.6,4.2,0,4.9,8.54,7
1995-06-09,23.5,9.4,0,6.2,11.44,6
1995-06-10,16.8,7,0,7.5,11.65,5
1995-06-11,19.7,9.2,0.1,3.1,8.58,8
1995-06-12,17,13.8,0.6,0,3.1,8
1995-06-13,15.8,8.8,0,0.5,5.7,8
1995-06-14,11.2,6.3,0,0,4.65,8
1995-06-15,9.9,7.9,0.5,0,1.93,8
1995-06-16,8.9,6,0.1,0,2.93,8
1995-06-17,13.1,6.2,0,1.3,6.52,7
1995-06-18,15.5,4.4,0,5.4,10.65,4
1995-06-19,13.8,3.4,0,7,11.37,5
1995-06-20,18.7,3.7,0,8.1,12.08,3
1995-06-21,20.9,1,0,8.2,12.45,1
1995-06-22,24.7,2.5,0,6.1,11.66,3
1995-06-23,18.8,10.6,0,1.4,4.97,4
1995-06-24,11.6,4.7,0,7.1,11.54,1
1995-06-25,12.4,-5,0,7.3,11.56,3
1995-06-26,17.7,3.4,0,5.6,10.83,5
1995-06-27,16.5,-1,0,7.4,11.64,2
1995-06-28,10.1,4,0,5.1,10.8,6
1995-06-29,11.3,-2,0,7.8,12.37,3
1995-06-30,20,3.9,0,8.1,12.51,0
1995-07-01,19.4,2.1,0,8.2,12.31,2
1995-07-02,20.2,6.2,0,3.1,5.83,4
1995-07-03,17.6,1.1,0,7.3,12.34,3
1995-07-04,19.7,5.1,0,8.2,12.72,3
1995-07-05,19.2,4.9,0,7.3,11.13,4
1995-07-06,17.9,0.1,0,9.3,12.91,0
1995-07-07,21.8,1,0,8.1,12.63,0
1995-07-08,24.7,1.1,0,8.5,13.46,0
1995-07-09,24.9,8.6,0,7.7,12.64,4
1995-07-10,22.8,2.5,0,7.9,12.62,2
1995-07-11,24.1,9.7,0,7.8,12.78,5
1995-07-12,14.7,8.7,0,1.2,7.63,8
1995-07-13,8.7,6.6,0.4,0,1.64,8
1995-07-14,7.3,4.5,0,0,2.32,8
1995-07-15,5.5,4.2,0,0,1.97,7
1995-07-16,12,-3.7,0,8.3,14.02,2
1995-07-17,12,-3.4,0,8.1,13.47,3
1995-07-18,13.1,-3.6,0,8.8,13.73,3
1995-07-19,14.4,-0.1,0,6.6,12.17,4
1995-07-20,16.5,-3,0,8.7,14.09,0
1995-07-21,20.3,4.2,0,7.6,13.22,4
1995-07-22,23.2,3.9,0,8.4,14.29,3
1995-07-23,23.8,5.4,0,9,14.21,0
1995-07-24,21.4,9.2,0,8.8,13.38,0
1995-07-25,20,3,0,9.2,14.18,1
1995-07-26,21.1,2.7,0,8.2,12.58,3
1995-07-27,19.2,5,0,9,13.96,0
1995-07-28,21.8,1.5,0,9.2,14.59,0
1995-07-29,13.7,6.1,0,9.2,15.14,1
1995-07-30,11.9,3.5,0,1.7,8.19,8
1995-07-31,10.4,6.4,0,0,4.3,8
1995-08-01,12.1,5.6,0,6.5,13.01,4
1995-08-02,17.3,-0.9,0,8.8,15.3,0
1995-08-03,13.5,2,0,6,13.19,5
1995-08-04,15.2,-2.4,0,8.8,14.76,0
1995-08-05,18,-1.3,0,6.7,12.71,2
1995-08-06,21.8,2.4,0,9,15.85,0
1995-08-07,18.8,1.8,0,9.4,15.73,0
1995-08-08,21.1,2,0,9.6,14.5,0
1995-08-09,14.3,6.4,0,7.8,13.38,2
1995-08-10,14.8,-1.2,0,5.1,12.68,6
1995-08-11,17.6,0.5,0,9.4,15.82,1
1995-08-12,21.8,0,0,9,15.43,0
1995-08-13,26.2,6.6,0,7.6,15.07,3
1995-08-14,17.7,6.2,0,0.9,2.52,5
1995-08-15,13.7,1.5,0,10.2,16.56,2
1995-08-16,12.3,-0.6,0,9.3,17.06,2
1995-08-17,9.8,-3.4,0,0,4.45,6
1995-08-18,15.8,-2.2,0,10.1,17.47,0
1995-08-19,17.5,2,0,9.7,17.13,2
1995-08-20,18,1.8,0,9.7,17.22,1
1995-08-21,23.3,-1.4,0,9.6,17.01,0
1995-08-22,29.2,1.8,0,8.9,15.42,3
1995-08-23,34.8,12.9,0,7.9,14.64,2
1995-08-24,26.3,14.6,0,7.6,14.31,3
1995-08-25,22.4,11.6,0,5.6,12.44,4
1995-08-26,22.6,13,0,4.9,12,4
1995-08-27,20.4,10.8,0,4.4,10.8,4
1995-08-28,23.3,9.7,0,6.9,15.12,2
1995-08-29,28.2,8.9,0,8.3,16.28,0
1995-08-30,21.7,9.5,0,7,16.48,4
1995-08-31,34.1,9.2,0,9.5,16.36,0
1995-09-01,21.9,13.8,0,9.8,18.92,1
1995-09-02,18.2,4.9,0,4.6,13.54,5
1995-09-03,21,11.2,0,3.7,11.75,7
1995-09-04,28.5,9,0,7.7,16.88,7
1995-09-05,37.1,15.4,0,6.4,15.38,2
1995-09-06,37.1,17.2,0,6.9,15.49,0
1995-09-07,28.8,15.9,0,5.3,14.35,2
1995-09-08,25.2,11.6,0,8,18.34,4
1995-09-09,21.8,8.6,0,9.6,20.21,3
1995-09-10,25.1,6.5,0,8.2,18.64,3
1995-09-11,24.8,13.9,0.1,7.2,17.3,4
1995-09-12,18.4,6.6,0.3,8.6,19.64,4
1995-09-13,17.8,9,0,4.4,13.01,8
1995-09-14,23.2,4.1,0,10.6,22.43,0
1995-09-15,26.4,5.7,0,10.5,22.22,2
1995-09-16,31.3,12.4,0,10,22.42,0
1995-09-17,35.8,13.3,0,7.8,20.47,3
1995-09-18,26.4,11.2,0,7.8,21.58,0
1995-09-19,16.7,4.7,0,10.3,23.97,0
1995-09-20,17.8,-1.3,0,11,24.02,0
1995-09-21,19.4,4.1,0,7.6,19.07,5
1995-09-22,25,4.6,0,8.6,20.64,3
1995-09-23,26.7,7,0,8.4,20.34,2
1995-09-24,26.8,7.8,0,8.1,20.23,0
1995-09-25,27.9,11.7,3.2,6.7,17.98,6
1995-09-26,22.1,13.2,0,5.5,18.31,6
1995-09-27,20.4,11.5,3.8,2.6,13.81,8
1995-09-28,14.3,9.2,0,0,8.77,8
1995-09-29,18.8,6.4,0,9.4,24.27,4
1995-09-30,22.5,7.7,0,11,24.26,2
1995-10-01,23.3,8.6,0,9.7,24.33,2
1995-10-02,24.7,7.8,22.9,5.3,15.62,4
1995-10-03,21.6,13.8,14,3.7,10.12,6
1995-10-04,21,8.3,0,10,23.06,1
1995-10-05,23.3,8.9,0,11.2,25.39,2
1995-10-06,25.4,12.1,5.4,7.9,19.41,6
1995-10-07,23.2,9.5,0,11,26.31,2
1995-10-08,17.5,11,0.5,4.8,12.14,4
1995-10-09,24.3,7.2,0,11.6,26.95,0
1995-10-10,25.5,8.8,0,11.8,26.06,1
1995-10-11,23.4,11,0.2,10.6,23.12,1
