"omm_id","Date","Tmax","Tmin","Precip","Nub","Sunabs","Solrad"
87585,2012-01-10,36.5,25,3,6,9,22.08987774
87585,2012-01-11,28,21.6,0,8,0,9.19939842
87585,2012-01-12,27.5,19.2,0,2,11.7,31.42503942
87585,2012-01-13,24.7,19.6,0,2,12.2,31.07574792
87585,2012-01-14,25.5,19.8,0,1,12.5,31.5026313
87585,2012-01-15,27.2,20.5,0,0,12.4,31.88798766
87585,2012-01-16,30.6,21.7,0,0,12.7,31.035372
87585,2012-01-17,28.5,24.1,0,1,12,30.3927624
87585,2012-01-18,29.5,22,0,3,11.6,29.20498362
87585,2012-01-19,29.6,24,0,3,8.4,20.96902356
87585,2012-01-20,32.7,26,0,2,9.5,29.36507616
87585,2012-01-21,31.3,25.4,4,6,9.5,23.71323756
87585,2012-01-22,28.1,22.5,0,5,8.7,19.6394844
87585,2012-01-24,31.2,20,0,4,8.3,24.67356312
87585,2012-01-25,25,15.7,0,2,12.4,31.18195488
87585,2012-01-26,25.4,18,0,1,11.3,30.76240422
87585,2012-01-27,27,20.8,0,0,12.1,31.0129179
87585,2012-01-28,29,21.5,0,0,12.3,31.01254536
87585,2012-01-29,32.8,22.8,6,1,13,29.40319254
87585,2012-01-30,29.5,22.1,1,6,0.3,6.31821911999999
87585,2012-01-31,28,22,3,7,2.2,10.99080942
87585,2012-02-01,30.8,21.5,89,5,9.8,NA
87585,2012-02-02,31,21,60.2,5,8.8,22.25853462
87585,2012-02-04,34,23.2,0,2,10.5,26.79056892
87585,2012-02-05,31.6,24.4,0.5,5,4.2,12.42775488
87585,2012-02-06,29.5,23,0,3,12,NA
87585,2012-02-07,31.2,25,33,5,7.5,23.44157754
87585,2012-02-08,30.4,22,0,7,6.2,20.08866222
87585,2012-02-09,25.8,17,0,3,10.1,25.33169946
87585,2012-02-10,25.2,17,0,1,11.7,25.5161394
87585,2012-02-11,27.6,19.5,0,1,10.9,28.92831228
87585,2012-02-12,30.6,19.5,0,1,12,28.56211572
87585,2012-02-13,29.5,22,0,0,12,29.2119129
87585,2012-02-14,30.5,23.4,0,2,11.5,26.42140302
87585,2012-02-15,32,24,0,2,9.7,23.39993058
87585,2012-02-16,31.7,20,11,6,6.4,NA
87585,2012-02-17,30,21.5,0,6,2.4,NA
87585,2012-02-18,35,25.4,6,6,9,NA
87585,2012-02-19,27.2,22,0.6,7,1,NA
87585,2012-02-20,25.8,23.6,3,7,0.6,NA
87585,2012-02-21,25.4,20,0,5,9,20.52020718
87585,2012-02-22,25.2,16.5,0,2,11.1,26.6068572
87585,2012-02-23,26,15.8,0,2,11.4,27.6379227
87585,2012-02-24,25.2,19.6,0.5,5,8.4,20.61159984
87585,2012-02-25,26.6,20.7,0,7,6.2,NA
87585,2012-02-26,26,18.4,0,1,11.5,NA
87585,2012-02-27,27.2,18,44,3,8.6,NA
87585,2012-02-28,24.4,18,0,8,0.1,8.38560948
87585,2012-02-29,25.3,20,0.5,7,7.1,16.08112362
87585,2012-03-01,25.5,17,0,5,8.8,21.11317278
87585,2012-03-02,26.1,18.2,0,2,11.2,NA
87585,2012-03-03,28.5,21.8,0,1,10.6,NA
87585,2012-03-04,29.6,22.7,0,0,11.1,24.64750446
87585,2012-03-05,30,20.2,49,6,3.2,9.03379247999996
87585,2012-03-06,26.5,21.6,0,7,4.9,16.77953958
87585,2012-03-07,27.5,22.7,0,3,9.4,14.64161592
87585,2012-03-08,27,23.5,3,5,4.6,12.24799764
87585,2012-03-09,27.5,22,6,3,9.4,20.02678188
87585,2012-03-10,29.5,20.5,0,6,5.3,15.71603712
