"omm_id","Date","Tmax","Tmin","Precip","Nub","Sunabs","Solrad"
87585,2012-01-10,39,23.1,7,5,7.5,22.08987774
87585,2012-01-11,26.6,20.6,0.2,8,0,9.19939842
87585,2012-01-12,28.3,16.5,0,3,10.3,31.42503942
87585,2012-01-13,29.6,14,0,0,12.4,31.07574792
87585,2012-01-14,29.6,13.7,0,0,12.1,31.5026313
87585,2012-01-15,32,16.2,0,0,12.9,31.88798766
87585,2012-01-16,35.5,19.4,0,0,12.6,31.035372
87585,2012-01-17,34.4,17.8,0,2,12.2,30.3927624
87585,2012-01-18,34.1,23.2,0,4,10.3,29.20498362
87585,2012-01-19,36.5,20.8,0,4,7.9,20.96902356
87585,2012-01-20,38.4,23.8,0,4,11.5,29.36507616
87585,2012-01-21,35.8,23.8,1.7,6,5.9,23.71323756
87585,2012-01-22,32.4,21.8,0,5,8.3,19.6394844
87585,2012-01-23,32.9,17.2,10,4,9.6,29.08910388
87585,2012-01-24,30.8,18.7,0,5,7,24.67356312
87585,2012-01-25,27.5,13.2,0,1,12.5,31.18195488
87585,2012-01-26,27.6,12.2,0,3,10.4,30.76240422
87585,2012-01-27,31,20,0,0,11.6,31.0129179
87585,2012-01-28,32.4,21.8,0,0,11.2,31.01254536
87585,2012-01-29,36.9,19.2,3,3,11.5,29.40319254
87585,2012-01-30,31.1,20.8,3.8,8,0,6.31821911999999
87585,2012-01-31,31.2,19.6,7,7,2.2,10.99080942
87585,2012-02-01,33.5,18.7,0.3,6,7.7,NA
87585,2012-02-02,32.8,20.2,6,7,7.5,22.25853462
87585,2012-02-03,32.4,20.4,0,5,9.5,22.48714356
87585,2012-02-04,35.2,23.4,0,3,9.9,26.79056892
87585,2012-02-05,30,21.4,3.3,4,5,12.42775488
87585,2012-02-06,35.3,19.8,0,4,10.7,NA
87585,2012-02-07,34.8,22.7,35.5,7,4.7,23.44157754
87585,2012-02-08,31.2,21,0,6,4.3,20.08866222
87585,2012-02-09,28,14.7,0,1,10.4,25.33169946
87585,2012-02-10,27.5,13.4,0,1,11.1,25.5161394
87585,2012-02-11,29.6,14.5,0,1,10.5,28.92831228
87585,2012-02-12,32.7,18.9,0,2,11.5,28.56211572
87585,2012-02-13,32.4,20,0,1,11.4,29.2119129
87585,2012-02-14,35,19.7,0,2,10.5,26.42140302
87585,2012-02-15,35.4,21.2,0,2,8.4,23.39993058
87585,2012-02-16,31.9,20,12.2,6,1.5,NA
87585,2012-02-17,29.9,20,0,7,0.2,NA
87585,2012-02-18,35.3,25,9.3,5,5.3,NA
87585,2012-02-19,27,21.2,2.7,7,0.4,NA
87585,2012-02-20,26.8,22.1,8.8,7,0,NA
87585,2012-02-21,26,18.6,0,5,9,20.52020718
87585,2012-02-22,27.5,10.8,0,2,10.2,26.6068572
87585,2012-02-23,25.3,12.2,0,1,11.2,27.6379227
87585,2012-02-24,27.7,16.3,1.9,6,5.7,20.61159984
87585,2012-02-25,28.8,19,1.1,6,4.3,NA
87585,2012-02-26,26.4,13.7,0,1,11.3,NA
87585,2012-02-27,30,15.5,51.5,3,8.9,NA
87585,2012-02-28,24.5,17.2,0,8,0.4,8.38560948
87585,2012-02-29,26.8,19,6.5,7,2.2,16.08112362
87585,2012-03-01,25.2,16.5,0,5,8.5,21.11317278
87585,2012-03-02,28.1,15.6,0,3,9.5,NA
87585,2012-03-03,30.6,20.7,0,1,9.6,NA
87585,2012-03-04,33,23.2,0,0,9.6,24.64750446
87585,2012-03-05,31.3,19.4,35.7,6,0,9.03379247999996
87585,2012-03-06,28.5,19.2,0,7,3.4,16.77953958
87585,2012-03-07,29.5,19.4,0,4,4.5,14.64161592
87585,2012-03-08,28.7,20.1,0.4,4,0.9,12.24799764
87585,2012-03-09,29.5,19.6,3,3,8.6,20.02678188
87585,2012-03-10,30.3,19.8,0,6,2.3,15.71603712
87585,2012-03-11,30,22.2,28,3,7,21.44456274
87585,2012-03-12,27.9,18.3,34.8,7,0,6.16128882
87585,2012-03-13,26.8,19.2,0,5,4.4,NA
87585,2012-03-14,22.5,13.4,0,1,5.7,NA
87585,2012-03-15,23,10.5,0,1,9.4,23.22767406
87585,2012-03-16,25.9,11.4,0,2,9.1,23.66435256
87585,2012-03-17,28.5,14,0,1,5.8,23.15140836
87585,2012-03-18,31.2,17.4,0,2,10.1,22.2895203
87585,2012-03-19,31.2,19,22,6,1.4,15.37112826
87585,2012-03-20,23.4,18.2,1.3,7,0,4.7440518
87585,2012-03-21,23.5,19.1,0,5,1.5,13.3441833
87585,2012-03-22,21.3,14.8,0,3,3.6,16.87160328
87585,2012-03-23,20.9,7.1,0,1,6.7,21.53005098
87585,2012-03-24,24.9,8.2,0,2,5.5,22.20044142
87585,2012-03-25,23.1,13.3,0,5,0.5,10.06122522
87585,2012-03-26,21.2,11.2,0,3,0.5,13.47918456
87585,2012-03-27,17.5,7.5,0,2,NA,NA
87585,2012-03-28,23,5.9,0,1,6.3,NA
87585,2012-03-29,24.5,11.4,0,2,10.1,NA
87585,2012-03-30,25.3,9.2,0,0,8.7,NA
87585,2012-03-31,27.3,15.3,0,0,11.1,NA
87585,2012-04-01,27.6,14.7,0,0,9.7,NA
87585,2012-04-02,25.2,13.2,0,5,1.2,NA
87585,2012-04-03,26,11.7,0,2,11.4,NA
87585,2012-04-04,29.9,16.8,15.5,5,4.4,NA
87585,2012-04-05,20.4,12.7,0,6,8.7,NA
87585,2012-04-06,24.3,8.1,0,4,8.3,NA
87585,2012-04-07,28.8,10.8,0,3,11.3,NA
87585,2012-04-08,23.4,12.2,0,3,9.7,NA
87585,2012-04-09,24.9,13.4,0,3,9.8,NA
87585,2012-04-10,26,15.2,0,3,6.2,NA
87585,2012-04-11,24.6,14.7,0,4,4.5,NA
87585,2012-04-12,25.9,14,0,4,3.4,NA
87585,2012-04-13,25.7,16.2,0,5,2.4,NA
87585,2012-04-14,25.6,15.7,0,6,6.2,NA
87585,2012-04-15,24.5,12.4,0,2,10,NA
87585,2012-04-16,26.2,10,0.9,3,8.2,NA
87585,2012-04-17,25.4,17,0,4,8.2,NA
87585,2012-04-18,26.4,9.7,0,1,9.1,NA
87585,2012-04-19,26.2,14.7,0,2,9.9,NA
87585,2012-04-20,28.2,11,0,1,6.2,NA
87585,2012-04-21,21.6,8,0,0,9.5,NA
87585,2012-04-22,17.2,3.6,0,3,6,NA
87585,2012-04-23,16.1,8,0,3,7.8,NA
87585,2012-04-24,15.6,0.7,1,2,8.9,NA
87585,2012-04-25,13.8,7.5,0.8,8,0,NA
87585,2012-04-26,15.9,9.3,0,4,6.7,NA
87585,2012-04-27,15.4,3.2,1,4,4.5,NA
87585,2012-04-28,11.8,8.2,0.1,8,0,NA
87585,2012-04-29,13.5,6,0,8,0,NA
87585,2012-04-30,18.2,3.2,0,2,9,NA
87585,2012-05-01,18.8,10.2,0,5,5.6,NA
87585,2012-05-02,21.2,13,0,4,7.5,NA
87585,2012-05-03,24.8,13.7,0,3,8.7,NA
87585,2012-05-04,25,11.8,0,6,3.9,NA
87585,2012-05-05,25,12.2,0,3,7,NA
87585,2012-05-06,21.2,14.8,0,7,1.1,NA
87585,2012-05-07,25.6,17.4,0,7,2.7,NA
87585,2012-05-08,24.4,16.5,8.3,6,4.5,NA
87585,2012-05-09,22.9,15.7,43.4,7,0,NA
87585,2012-05-10,19.9,14.3,2.5,6,4.4,NA
87585,2012-05-11,17.5,9.5,0,5,1.1,NA
87585,2012-05-12,16.4,5.2,0,1,8.5,NA
87585,2012-05-13,18.6,3.2,0,2,7.5,NA
87585,2012-05-14,21,11.4,0,5,7.9,NA
87585,2012-05-15,22,6.8,0,1,7.2,NA
87585,2012-05-16,20.8,11.9,0,3,3.5,NA
87585,2012-05-17,23.2,15.5,0,3,7.3,NA
87585,2012-05-18,19.8,12.1,15,6,0,NA
87585,2012-05-19,16.4,11.5,0,8,0,NA
87585,2012-05-20,20.1,13.7,9,8,0,NA
87585,2012-05-21,17,12.4,13,8,0,NA
87585,2012-05-22,16.4,12.5,2.4,8,0,NA
87585,2012-05-23,17.4,13.6,0,8,0,NA
87585,2012-05-24,16.6,12,0,8,0,NA
87585,2012-05-25,19.2,10,0,6,0,NA
87585,2012-05-26,19,14,0,8,0,NA
87585,2012-05-27,20.4,15.8,0,8,0,NA
87585,2012-05-28,22,12.4,0,7,2.2,NA
87585,2012-05-29,22.6,15,0,3,5.2,NA
87585,2012-05-30,17.1,7.1,0,1,8.1,NA
87585,2012-05-31,15.3,3.7,0,3,3.8,NA
87585,2012-06-01,18.6,4.3,0,6,1.5,NA
87585,2012-06-02,21,13.6,0,3,7.1,NA
87585,2012-06-03,16.2,5.8,0,3,6.3,NA
87585,2012-06-04,11,3.8,0,4,0.5,NA
87585,2012-06-05,14.3,2.6,0.7,2,5.5,NA
87585,2012-06-06,10.3,2.2,0,5,3.2,NA
87585,2012-06-07,10,-2.6,0,3,4.5,NA
87585,2012-06-08,13.2,-0.8,0,0,7.2,NA
87585,2012-06-09,13.9,0.1,0,3,4.5,NA
87585,2012-06-10,15.5,3.5,0,5,0.9,NA
87585,2012-06-11,18,3.5,0,3,2.8,NA
87585,2012-06-12,16.4,10.9,0,6,0,NA
87585,2012-06-13,23.6,11.8,0,7,0,NA
87585,2012-06-14,19.8,10.8,0,6,2.3,NA
87585,2012-06-15,13.1,9,0,6,0,NA
87585,2012-06-16,10,1.9,0,3,5.7,NA
87585,2012-06-17,8.9,2.5,3.2,7,0,NA
87585,2012-06-18,11,5.7,0,8,0,NA
87585,2012-06-19,14.1,6.2,0,4,5.4,NA
87585,2012-06-20,18.4,5.4,0,3,7.3,NA
87585,2012-06-21,17,9.7,0,5,2.1,NA
87585,2012-06-22,19.2,5.1,0,2,8.6,NA
87585,2012-06-23,19.1,7.8,0,3,4.3,NA
87585,2012-06-24,18.3,7.4,0,0,7.5,NA
87585,2012-06-25,13.5,-1,0,1,7.3,NA
87585,2012-06-26,19,6.7,0,0,7.6,NA
87585,2012-06-27,23.2,12,0,3,2.1,NA
87585,2012-06-28,19.9,11.8,4,8,0,NA
87585,2012-06-29,19.7,10.7,0,4,4.2,NA
87585,2012-06-30,16.2,9.6,0,8,0,NA
87585,2012-07-01,20.2,16,5,8,0,NA
87585,2012-07-02,16,7.3,0,8,0,NA
87585,2012-07-03,12.7,3.9,0,4,5.8,NA
87585,2012-07-04,8.7,1.3,4,6,0,NA
87585,2012-07-05,10.9,1.4,0,2,7.3,NA
87585,2012-07-06,12,-1.5,0,5,6.8,NA
87585,2012-07-07,13,-0.2,0,1,8.4,NA
87585,2012-07-08,15.4,6.2,0,1,8.4,NA
87585,2012-07-09,13.3,1.9,0,2,5.5,NA
87585,2012-07-10,10.5,-1,0.4,5,1.8,NA
