"omm_id","Date","Tmax","Tmin","Precip","Nub","Sunabs","Solrad"
87585,2012-01-10,NA,NA,11,5,5.2,22.08987774
87585,2012-01-11,NA,NA,0,8,0,9.19939842
87585,2012-01-12,NA,NA,0,1,13.8,31.42503942
87585,2012-01-13,NA,NA,0,1,12.5,31.07574792
87585,2012-01-14,NA,NA,0,1,12.5,31.5026313
87585,2012-01-15,NA,NA,0,0,13,31.88798766
87585,2012-01-16,NA,NA,0,0,13.3,31.035372
87585,2012-01-17,NA,NA,0,2,11.5,30.3927624
87585,2012-01-18,NA,NA,0,3,NA,29.20498362
87585,2012-01-19,NA,NA,0,3,8.7,20.96902356
87585,2012-01-20,NA,NA,0,3,NA,29.36507616
87585,2012-01-21,NA,NA,4,4,NA,23.71323756
87585,2012-01-22,NA,NA,0,4,9.7,19.6394844
87585,2012-01-23,NA,NA,7,4,11.9,29.08910388
87585,2012-01-24,NA,NA,0,4,9.8,24.67356312
87585,2012-01-25,NA,NA,0,1,12.7,31.18195488
87585,2012-01-26,NA,NA,0,2,11,30.76240422
87585,2012-01-27,NA,NA,0,1,12.7,31.0129179
87585,2012-01-28,NA,NA,0,0,12.1,31.01254536
87585,2012-01-29,NA,NA,17,2,9.9,29.40319254
87585,2012-01-30,NA,NA,14,8,0,6.31821911999999
87585,2012-01-31,NA,NA,0.8,7,2.3,10.99080942
87585,2012-02-01,NA,NA,24,6,9.9,NA
87585,2012-02-02,NA,NA,5,5,10,22.25853462
87585,2012-02-03,NA,NA,0,4,9.5,22.48714356
87585,2012-02-04,NA,NA,0,4,10.4,26.79056892
87585,2012-02-05,NA,NA,0,5,4.9,12.42775488
87585,2012-02-06,NA,NA,0,3,10.8,NA
87585,2012-02-07,NA,NA,23,6,6.9,23.44157754
87585,2012-02-08,NA,NA,0,7,NA,20.08866222
87585,2012-02-09,NA,NA,0,1,9.7,25.33169946
87585,2012-02-10,NA,NA,0,1,11.3,25.5161394
87585,2012-02-11,NA,NA,0,1,10.4,28.92831228
87585,2012-02-12,NA,NA,0,1,11,28.56211572
87585,2012-02-13,NA,NA,0,1,11.4,29.2119129
87585,2012-02-14,NA,NA,0,4,10.8,26.42140302
87585,2012-02-15,NA,NA,0,2,9,23.39993058
87585,2012-02-16,NA,NA,12,NA,5.2,NA
87585,2012-02-17,NA,NA,0,7,0.8,NA
87585,2012-02-18,NA,NA,12,6,7.9,NA
87585,2012-02-19,NA,NA,2,7,1.7,NA
87585,2012-02-20,NA,NA,7,6,0.9,NA
87585,2012-02-21,NA,NA,0,NA,NA,20.52020718
87585,2012-02-22,NA,NA,0,3,10.6,26.6068572
87585,2012-02-23,NA,NA,0,1,11.1,27.6379227
87585,2012-02-24,NA,NA,0.8,5,6.7,20.61159984
87585,2012-02-25,NA,NA,0.5,7,6.2,NA
87585,2012-02-26,NA,NA,0,0,NA,NA
87585,2012-02-27,NA,NA,42,3,9.1,NA
87585,2012-02-28,23,NA,2,7,1.6,8.38560948
87585,2012-02-29,NA,NA,6,6,6.3,16.08112362
